role,department,resource,resource_sensitivity,hour,is_unusual_time,known_device,location_match,role_resource_match,failed_attempts,request_frequency,credential_valid,previous_behavior_score,risk_score,risk_label
Finance Analyst,Finance,Finance System,3,23.99,1,0,0,1,1,13.59,1,0.554,98.9,HIGH
QA Engineer,IT,GitHub Project Alpha,1,22.36,1,0,0,0,1,5.72,1,0.053,98.2,HIGH
Contractor,IT,Production Database,4,7.45,0,1,1,1,0,2.52,1,0.737,9.7,LOW
Finance Analyst,HR,Development Server,2,21.53,1,0,0,0,5,3.82,1,0.007,96.2,HIGH
Contractor,Finance,HR Database,3,18.35,0,1,1,0,0,1.56,1,0.974,23.9,LOW
HR Specialist,IT,Production Database,4,23.29,1,0,1,1,4,8.08,1,0.426,99.0,HIGH
Product Manager,HR,Admin Panel,4,13.08,0,1,1,0,1,1.7,1,0.889,41.5,MEDIUM
System Administrator,Finance,HR Database,3,7.62,0,1,1,0,0,2.7,1,0.646,28.3,LOW
HR Specialist,Finance,Admin Panel,4,17.18,0,1,1,0,0,3.84,1,0.698,36.7,MEDIUM
System Administrator,HR,HR Database,3,0.87,1,0,1,1,4,12.56,1,0.557,100.0,HIGH
HR Specialist,IT,Development Server,2,7.52,0,1,1,0,0,2.98,1,0.735,24.8,LOW
HR Specialist,HR,Finance System,3,19.76,0,1,1,0,0,2.48,1,0.945,29.7,LOW
Contractor,IT,Admin Panel,4,15.55,0,1,1,1,0,3.55,1,0.648,16.8,LOW
System Administrator,IT,Project Management System,1,7.41,0,1,1,1,0,1.31,1,0.921,5.1,LOW
Product Manager,Product,HR Database,3,11.69,0,1,1,0,0,1.4,1,0.962,25.5,LOW
Contractor,Engineering,Finance System,3,9.94,0,1,1,0,0,2.03,1,0.862,31.4,MEDIUM
Contractor,Product,Admin Panel,4,0.61,1,0,0,0,5,10.55,1,0.344,100.0,HIGH
DevOps Engineer,Finance,GitHub Project Alpha,1,23.96,1,0,1,0,2,11.27,1,0.586,97.2,HIGH
System Administrator,IT,Admin Panel,4,13.87,0,1,1,1,0,2.2,1,0.774,8.7,LOW
Product Manager,Product,HR Database,3,11.79,0,1,1,0,0,1.99,1,0.921,28.0,LOW
System Administrator,Product,GitHub Project Alpha,1,19.5,0,1,1,1,0,4.01,1,0.83,2.3,LOW
Finance Analyst,Engineering,Admin Panel,4,10.26,0,1,1,0,0,4.88,1,0.883,35.1,MEDIUM
Finance Analyst,Engineering,HR Database,3,9.41,0,1,1,0,1,1.35,1,0.857,35.5,MEDIUM
QA Engineer,Engineering,Admin Panel,4,5.56,1,0,0,0,2,13.39,1,0.488,100.0,HIGH
Product Manager,Engineering,GitHub Project Alpha,1,15.44,0,1,1,1,0,0.83,1,0.669,6.1,LOW
Software Developer,Finance,Finance System,3,15.26,0,1,1,1,0,1.14,1,0.926,9.4,LOW
HR Specialist,Product,HR Database,3,1.93,1,0,0,0,2,8.59,1,0.453,96.9,HIGH
Contractor,HR,Admin Panel,4,10.38,0,1,0,0,0,0.85,1,0.847,53.3,MEDIUM
Product Manager,IT,GitHub Project Alpha,1,5.38,1,0,0,0,3,8.18,1,0.591,98.3,HIGH
QA Engineer,Engineering,GitHub Project Alpha,1,21.12,1,0,0,1,3,9.99,1,0.407,97.9,HIGH
HR Specialist,HR,Production Database,4,15.68,0,1,1,0,1,0.4,1,0.618,43.5,MEDIUM
Software Developer,Finance,HR Database,3,19.22,0,1,1,0,0,4.57,1,0.649,30.6,MEDIUM
QA Engineer,HR,GitHub Project Alpha,1,2.13,1,0,0,0,0,9.74,1,0.464,97.0,HIGH
HR Specialist,Finance,Production Database,4,10.89,0,1,1,0,0,1.79,1,0.985,31.8,MEDIUM
Product Manager,Product,Development Server,2,9.37,0,1,0,0,1,2.45,1,0.842,55.0,MEDIUM
System Administrator,Product,GitHub Project Alpha,1,5.23,1,0,0,1,1,5.03,1,0.275,70.2,HIGH
Contractor,Finance,Project Management System,1,0.56,1,0,0,1,3,5.23,1,0.109,94.9,HIGH
Product Manager,Engineering,GitHub Project Alpha,1,19.16,0,0,1,1,1,4.96,1,0.9,35.3,MEDIUM
Product Manager,Finance,GitHub Project Alpha,1,12.01,0,1,0,0,0,2.39,1,0.996,44.2,MEDIUM
System Administrator,HR,Development Server,2,5.87,1,0,0,0,1,10.88,1,0.33,100.0,HIGH
Contractor,Finance,Admin Panel,4,18.42,0,1,1,0,0,3.25,1,0.67,35.6,MEDIUM
HR Specialist,HR,Development Server,2,7.64,0,1,1,0,1,0.42,1,0.817,38.7,MEDIUM
System Administrator,HR,Admin Panel,4,12.56,0,1,1,0,0,1.5,1,0.666,30.6,MEDIUM
Contractor,Product,Development Server,2,4.63,1,0,0,0,0,10.73,1,0.574,97.7,HIGH
Finance Analyst,Finance,GitHub Project Alpha,1,21.92,1,0,0,0,4,13.16,1,0.051,96.6,HIGH
DevOps Engineer,HR,Production Database,4,22.78,1,1,1,0,5,14.65,1,0.537,98.2,HIGH
Product Manager,IT,Project Management System,1,7.18,0,1,1,1,0,4.6,1,0.709,4.7,LOW
Finance Analyst,Engineering,Production Database,4,17.76,0,1,0,1,0,1.87,0,0.865,46.7,MEDIUM
HR Specialist,Finance,Development Server,2,12.84,0,0,1,0,0,1.05,0,0.676,62.6,MEDIUM
Software Developer,IT,GitHub Project Alpha,1,7.63,0,1,1,0,0,0.96,1,0.923,21.7,LOW
System Administrator,Finance,HR Database,3,10.73,0,1,1,0,1,1.84,1,0.699,36.1,MEDIUM
HR Specialist,Product,GitHub Project Alpha,1,8.19,0,1,1,1,0,1.24,1,0.684,7.9,LOW
System Administrator,Finance,GitHub Project Alpha,1,19.07,0,1,1,0,0,1.41,1,0.884,21.9,LOW
HR Specialist,Product,Development Server,2,13.88,0,1,1,0,1,3.41,1,0.711,37.0,MEDIUM
Software Developer,Finance,Admin Panel,4,14.91,0,1,1,0,1,4.38,1,0.8,43.4,MEDIUM
Contractor,IT,Production Database,4,8.63,0,1,1,1,0,2.83,1,0.867,14.9,LOW
Product Manager,Product,HR Database,3,8.06,0,1,1,0,1,4.62,1,0.659,36.5,MEDIUM
System Administrator,IT,Admin Panel,4,9.33,0,1,1,1,1,3.9,1,0.678,23.8,LOW
HR Specialist,HR,Production Database,4,4.84,1,0,0,0,4,14.08,1,0.554,99.2,HIGH
HR Specialist,Product,GitHub Project Alpha,1,15.24,0,1,1,1,0,3.28,1,0.691,2.3,LOW
QA Engineer,Product,Development Server,2,7.55,0,1,1,0,0,0.98,1,0.828,30.3,MEDIUM
DevOps Engineer,Engineering,Project Management System,1,4.6,1,1,0,1,4,3.65,1,0.586,72.1,HIGH
Product Manager,Engineering,Finance System,3,15.77,0,1,0,0,1,3.0,1,0.652,57.2,MEDIUM
Software Developer,HR,HR Database,3,13.01,0,1,1,1,1,3.7,1,0.91,18.2,LOW
DevOps Engineer,IT,Admin Panel,4,8.07,0,1,1,1,1,2.5,1,0.695,20.3,LOW
Software Developer,Engineering,GitHub Project Alpha,1,1.59,1,1,0,1,3,13.37,1,0.507,97.7,HIGH
HR Specialist,Engineering,Finance System,3,19.72,0,1,1,0,0,4.43,1,0.71,31.0,MEDIUM
Software Developer,Product,Admin Panel,4,18.54,0,1,1,0,0,3.27,1,0.847,32.7,MEDIUM
DevOps Engineer,Engineering,Project Management System,1,16.83,0,1,1,1,0,3.24,1,0.914,6.4,LOW
DevOps Engineer,HR,Project Management System,1,10.01,0,1,1,1,0,1.8,1,0.637,2.8,LOW
System Administrator,HR,Development Server,2,18.64,0,1,1,0,0,0.46,1,0.887,27.7,LOW
Contractor,Finance,GitHub Project Alpha,1,15.76,0,1,0,0,0,2.63,1,0.902,41.7,MEDIUM
Software Developer,HR,HR Database,3,11.39,0,1,1,1,0,1.19,1,0.656,8.2,LOW
Software Developer,IT,Admin Panel,4,11.92,0,1,1,1,0,4.17,1,0.819,11.6,LOW
QA Engineer,IT,GitHub Project Alpha,1,12.82,0,1,1,0,0,3.45,1,0.642,27.6,LOW
Contractor,HR,Production Database,4,19.15,0,1,1,0,0,2.38,1,0.931,33.3,MEDIUM
HR Specialist,Engineering,Development Server,2,16.76,0,1,0,1,0,2.06,1,0.703,26.4,LOW
System Administrator,HR,Finance System,3,3.16,1,1,0,0,0,5.75,1,0.384,72.6,HIGH
Software Developer,IT,Admin Panel,4,21.5,1,0,1,1,1,8.09,1,0.332,75.6,HIGH
DevOps Engineer,Product,Development Server,2,9.65,0,1,1,0,1,3.22,1,0.908,30.1,MEDIUM
QA Engineer,Finance,Admin Panel,4,8.23,0,0,1,0,0,2.53,1,0.613,56.8,MEDIUM
HR Specialist,Product,GitHub Project Alpha,1,7.79,0,1,1,1,0,1.47,1,0.852,2.6,LOW
System Administrator,Engineering,HR Database,3,23.35,1,1,0,0,2,4.41,1,0.217,83.2,HIGH
HR Specialist,Product,Project Management System,1,13.11,0,1,1,1,0,3.76,1,0.612,7.8,LOW
HR Specialist,Finance,Admin Panel,4,13.15,0,1,0,0,0,0.62,1,0.614,56.4,MEDIUM
Finance Analyst,HR,Admin Panel,4,8.38,0,1,1,0,0,1.2,1,0.949,29.4,LOW
Software Developer,HR,Finance System,3,13.66,0,1,1,0,1,1.9,1,0.753,36.6,MEDIUM
Software Developer,Engineering,Development Server,2,21.97,1,0,1,1,4,8.4,1,0.6,96.8,HIGH
Finance Analyst,IT,HR Database,3,9.67,0,1,1,0,0,3.91,1,0.78,29.0,LOW
DevOps Engineer,IT,Project Management System,1,4.87,1,1,1,1,4,11.88,1,0.334,86.2,HIGH
Contractor,Engineering,HR Database,3,11.24,0,1,1,0,0,2.71,1,0.913,25.5,LOW
Contractor,Finance,HR Database,3,8.62,0,1,1,0,0,2.48,1,0.773,32.8,MEDIUM
Finance Analyst,Product,Admin Panel,4,9.14,0,1,1,0,0,1.68,1,0.823,28.8,LOW
HR Specialist,HR,Finance System,3,2.82,1,1,0,0,4,4.13,1,0.32,100.0,HIGH
DevOps Engineer,IT,Finance System,3,11.74,0,1,1,0,0,1.08,1,0.796,29.9,LOW
System Administrator,HR,GitHub Project Alpha,1,13.53,0,1,0,0,0,0.08,1,0.771,46.2,MEDIUM
System Administrator,Product,Admin Panel,4,11.29,0,1,1,0,0,4.66,1,0.687,33.4,MEDIUM
Contractor,Product,Development Server,2,12.1,0,1,0,0,0,3.67,1,0.838,49.7,MEDIUM
Product Manager,IT,Finance System,3,16.27,0,1,1,0,0,1.6,1,0.981,25.0,LOW
Software Developer,Product,Admin Panel,4,9.33,0,1,1,0,0,3.04,1,0.977,28.7,LOW
Software Developer,HR,Finance System,3,12.79,0,1,1,0,1,2.09,1,0.713,35.6,MEDIUM
DevOps Engineer,Finance,Development Server,2,13.29,0,1,1,0,1,4.9,1,0.883,31.0,MEDIUM
HR Specialist,IT,Admin Panel,4,21.16,1,0,0,1,4,13.19,1,0.053,100.0,HIGH
Contractor,HR,GitHub Project Alpha,1,8.15,0,1,1,0,0,4.44,1,0.682,24.1,LOW
Software Developer,IT,Project Management System,1,15.12,0,1,1,1,0,2.19,1,0.891,0.3,LOW
Finance Analyst,Finance,Finance System,3,21.92,1,1,0,1,3,12.67,1,0.311,96.8,HIGH
Finance Analyst,HR,Development Server,2,17.06,0,1,1,0,0,1.87,1,0.605,29.1,LOW
DevOps Engineer,Product,GitHub Project Alpha,1,22.19,1,0,1,1,5,10.82,1,0.52,96.4,HIGH
HR Specialist,Engineering,Project Management System,1,14.36,0,1,0,1,1,0.59,1,0.805,35.2,MEDIUM
QA Engineer,IT,Project Management System,1,21.32,1,0,0,1,1,6.11,1,0.07,77.3,HIGH
Contractor,Product,Development Server,2,10.48,0,1,0,0,0,0.97,1,0.865,44.4,MEDIUM
System Administrator,Product,Production Database,4,8.76,0,1,1,0,1,4.46,1,0.757,42.8,MEDIUM
System Administrator,IT,Development Server,2,7.04,0,1,0,0,0,3.94,1,0.96,49.0,MEDIUM
DevOps Engineer,Product,Admin Panel,4,17.87,0,1,1,0,0,0.45,1,0.647,33.6,MEDIUM
Product Manager,Product,Development Server,2,21.47,1,0,0,0,5,3.04,1,0.508,100.0,HIGH
Finance Analyst,IT,Production Database,4,19.67,0,1,1,1,0,4.91,1,0.615,17.7,LOW
HR Specialist,Finance,Project Management System,1,11.67,0,1,1,1,0,0.03,1,0.823,2.3,LOW
Finance Analyst,Finance,Finance System,3,18.86,0,1,1,1,0,2.14,1,0.66,14.4,LOW
Product Manager,Product,HR Database,3,10.36,0,1,1,0,0,0.11,1,0.851,30.1,MEDIUM
QA Engineer,Engineering,HR Database,3,8.84,0,1,1,0,0,1.47,1,0.835,25.4,LOW
Product Manager,Finance,GitHub Project Alpha,1,14.08,0,1,1,0,1,0.22,1,0.947,33.4,MEDIUM
DevOps Engineer,IT,GitHub Project Alpha,1,2.24,1,0,1,0,5,5.04,1,0.253,100.0,HIGH
Product Manager,Product,Development Server,2,11.06,0,1,1,0,0,3.86,1,0.77,27.8,LOW
Software Developer,IT,Development Server,2,17.52,0,1,1,0,0,1.37,1,0.812,30.8,MEDIUM
QA Engineer,HR,Admin Panel,4,22.6,1,1,1,0,4,10.06,0,0.045,99.7,HIGH
QA Engineer,Engineering,HR Database,3,18.43,0,1,1,0,0,2.41,1,0.605,33.8,MEDIUM
Software Developer,IT,Finance System,3,21.52,1,0,0,0,3,6.14,1,0.538,96.1,HIGH
Product Manager,Finance,HR Database,3,21.51,1,0,1,0,4,8.88,1,0.206,97.5,HIGH
Finance Analyst,Finance,Admin Panel,4,3.02,1,0,0,0,4,14.18,1,0.066,96.2,HIGH
System Administrator,Engineering,HR Database,3,9.54,0,1,1,0,1,1.37,0,0.811,50.1,MEDIUM
HR Specialist,HR,Development Server,2,15.9,0,1,1,0,0,3.73,1,0.669,31.7,MEDIUM
HR Specialist,IT,Admin Panel,4,7.7,0,1,1,1,0,4.87,1,0.917,9.6,LOW
Finance Analyst,Engineering,HR Database,3,9.12,0,1,1,0,1,0.28,1,0.837,37.4,MEDIUM
Contractor,Engineering,Development Server,2,11.11,0,1,0,1,1,1.74,1,0.98,36.6,MEDIUM
System Administrator,Finance,Production Database,4,17.77,0,1,1,0,0,4.83,1,0.99,27.6,LOW
Contractor,IT,Finance System,3,19.11,0,1,1,0,1,1.68,1,0.774,34.8,MEDIUM
Software Developer,HR,GitHub Project Alpha,1,15.64,0,1,1,0,0,0.12,1,0.888,26.8,LOW
Finance Analyst,Engineering,Project Management System,1,22.03,1,0,0,1,1,6.46,1,0.54,78.5,HIGH
Contractor,HR,Admin Panel,4,22.68,1,0,0,0,4,10.71,1,0.478,96.7,HIGH
HR Specialist,Finance,Admin Panel,4,16.22,0,1,1,0,0,0.41,1,0.814,31.0,MEDIUM
QA Engineer,Engineering,Production Database,4,8.66,0,1,1,1,0,4.35,1,0.734,15.4,LOW
Contractor,Finance,Development Server,2,13.06,0,1,1,0,1,0.39,1,0.667,36.4,MEDIUM
HR Specialist,Finance,GitHub Project Alpha,1,8.24,0,0,1,0,0,4.67,1,0.742,42.7,MEDIUM
QA Engineer,Engineering,GitHub Project Alpha,1,17.33,0,1,1,1,0,3.95,1,0.801,7.7,LOW
Product Manager,Engineering,Admin Panel,4,17.59,0,1,1,0,0,0.71,1,0.874,29.2,LOW
HR Specialist,IT,HR Database,3,17.96,0,0,1,0,0,2.53,1,0.845,47.1,MEDIUM
DevOps Engineer,HR,Production Database,4,9.99,0,1,1,0,0,1.3,1,0.681,31.0,MEDIUM
QA Engineer,Engineering,Admin Panel,4,7.58,0,1,1,0,0,1.34,1,0.69,31.5,MEDIUM
Product Manager,Product,GitHub Project Alpha,1,19.07,0,1,1,1,1,3.6,1,0.938,8.4,LOW
DevOps Engineer,HR,GitHub Project Alpha,1,18.51,0,1,1,0,0,4.81,1,0.842,23.8,LOW
Finance Analyst,IT,GitHub Project Alpha,1,15.84,0,1,0,0,0,1.59,1,0.763,47.1,MEDIUM
Software Developer,Product,Project Management System,1,8.81,0,0,1,1,0,4.13,1,0.706,23.8,LOW
System Administrator,HR,Development Server,2,23.76,1,0,0,0,1,3.05,1,0.3,93.2,HIGH
DevOps Engineer,IT,Admin Panel,4,19.21,0,1,1,1,0,4.62,1,0.986,12.3,LOW
System Administrator,IT,Finance System,3,4.24,1,0,0,0,4,3.49,1,0.467,97.5,HIGH
Software Developer,Finance,GitHub Project Alpha,1,19.62,0,1,1,0,0,3.04,1,0.892,27.2,LOW
System Administrator,Finance,GitHub Project Alpha,1,5.19,1,0,1,0,4,4.08,1,0.187,93.7,HIGH
Finance Analyst,IT,GitHub Project Alpha,1,1.36,1,0,0,0,1,8.05,1,0.578,100.0,HIGH
Finance Analyst,IT,Project Management System,1,7.71,0,1,1,1,0,0.7,1,0.713,6.6,LOW
DevOps Engineer,Finance,Project Management System,1,11.08,0,1,1,1,0,0.43,1,0.628,6.7,LOW
Software Developer,Product,HR Database,3,16.06,0,1,1,0,0,2.17,1,0.809,32.4,MEDIUM
Software Developer,IT,Development Server,2,1.03,1,1,0,0,1,9.14,0,0.078,100.0,HIGH
HR Specialist,Engineering,HR Database,3,12.65,0,1,1,0,0,4.82,1,0.664,31.8,MEDIUM
Finance Analyst,Engineering,Admin Panel,4,21.97,1,0,0,0,3,6.73,1,0.268,98.5,HIGH
QA Engineer,Engineering,GitHub Project Alpha,1,5.83,1,0,0,1,1,9.55,1,0.273,95.3,HIGH
Software Developer,HR,GitHub Project Alpha,1,10.89,0,1,1,0,1,1.67,1,0.657,35.1,MEDIUM
QA Engineer,HR,HR Database,3,10.27,0,1,1,1,1,0.45,1,0.989,19.0,LOW
HR Specialist,HR,Project Management System,1,19.89,0,1,1,1,1,0.02,1,0.895,8.4,LOW
Contractor,HR,Development Server,2,22.14,1,1,0,0,2,9.16,1,0.339,96.5,HIGH
System Administrator,Finance,Project Management System,1,10.48,0,1,1,1,0,4.78,1,0.79,7.7,LOW
HR Specialist,Engineering,GitHub Project Alpha,1,11.95,0,1,1,1,1,4.29,1,0.984,8.8,LOW
System Administrator,Engineering,Admin Panel,4,3.83,1,1,1,0,2,4.02,1,0.149,68.8,MEDIUM
Finance Analyst,Finance,Project Management System,1,23.14,1,0,0,1,2,13.02,1,0.391,100.0,HIGH
DevOps Engineer,Product,Project Management System,1,19.47,0,1,1,1,0,4.2,1,0.651,8.5,LOW
Software Developer,IT,Project Management System,1,11.13,0,1,1,1,0,0.07,1,0.759,5.2,LOW
DevOps Engineer,HR,Project Management System,1,22.34,1,0,1,1,4,8.09,1,0.423,88.5,HIGH
System Administrator,Finance,GitHub Project Alpha,1,5.71,1,0,0,0,2,9.48,1,0.404,100.0,HIGH
Finance Analyst,Finance,Development Server,2,19.28,0,1,1,0,0,4.5,1,0.928,27.7,LOW
System Administrator,Product,HR Database,3,2.11,1,0,0,0,4,13.01,1,0.434,97.6,HIGH
HR Specialist,HR,HR Database,3,7.84,0,1,1,1,1,1.64,1,0.914,18.8,LOW
HR Specialist,Finance,Admin Panel,4,13.51,0,1,1,0,1,2.22,1,0.83,42.0,MEDIUM
HR Specialist,Finance,GitHub Project Alpha,1,10.92,0,1,1,0,0,0.87,1,0.984,25.0,LOW
Contractor,Engineering,Development Server,2,0.5,1,0,0,1,0,5.96,0,0.299,86.7,HIGH
QA Engineer,Engineering,HR Database,3,21.8,1,1,0,0,3,3.9,1,0.538,94.2,HIGH
Product Manager,Finance,Project Management System,1,10.4,0,1,1,1,0,4.82,1,0.961,2.4,LOW
Product Manager,Finance,Project Management System,1,21.79,1,0,1,1,1,8.47,1,0.507,69.4,MEDIUM
System Administrator,Finance,HR Database,3,10.65,0,0,1,0,0,0.77,1,0.714,50.4,MEDIUM
Finance Analyst,Finance,Project Management System,1,7.1,0,1,1,1,0,3.6,1,0.996,1.5,LOW
System Administrator,Product,Project Management System,1,13.18,0,1,1,1,0,1.6,1,0.703,5.8,LOW
HR Specialist,IT,Project Management System,1,8.36,0,1,1,1,0,3.69,1,0.789,6.1,LOW
Software Developer,IT,Finance System,3,19.04,0,1,1,0,0,3.6,1,0.871,28.9,LOW
Finance Analyst,IT,Admin Panel,4,8.41,0,1,1,1,1,2.21,1,0.813,18.2,LOW
HR Specialist,Product,Development Server,2,8.92,0,1,1,0,0,3.1,1,0.722,28.8,LOW
Product Manager,IT,HR Database,3,2.27,1,0,0,0,5,3.45,1,0.003,99.7,HIGH
Software Developer,Engineering,HR Database,3,4.4,1,0,1,0,1,7.1,1,0.088,89.0,HIGH
Contractor,Engineering,Project Management System,1,8.72,0,0,1,1,0,3.98,1,0.696,22.1,LOW
Finance Analyst,Product,GitHub Project Alpha,1,16.79,0,1,1,1,0,4.84,1,0.997,1.8,LOW
QA Engineer,Engineering,Project Management System,1,10.99,0,1,1,1,0,3.57,1,0.707,1.7,LOW
Contractor,HR,Development Server,2,7.52,0,1,1,0,0,0.53,1,0.641,32.1,MEDIUM
QA Engineer,Product,GitHub Project Alpha,1,10.96,0,1,1,1,0,0.52,1,0.91,7.0,LOW
DevOps Engineer,HR,Finance System,3,9.05,0,1,1,0,0,1.57,1,0.616,30.9,MEDIUM
Contractor,HR,HR Database,3,0.16,1,0,0,1,0,7.14,1,0.081,79.0,HIGH
HR Specialist,Product,Project Management System,1,17.33,0,1,1,1,0,1.89,1,0.871,0.9,LOW
QA Engineer,Finance,Development Server,2,11.56,0,0,1,0,0,3.44,1,0.918,46.3,MEDIUM
Contractor,IT,Development Server,2,23.1,1,1,1,0,2,4.23,1,0.345,61.7,MEDIUM
DevOps Engineer,HR,Production Database,4,22.2,1,0,1,0,2,14.07,1,0.235,96.1,HIGH
DevOps Engineer,HR,Production Database,4,15.94,0,1,1,0,0,3.32,1,0.849,35.2,MEDIUM
Product Manager,IT,Project Management System,1,21.01,1,0,1,1,3,7.47,0,0.384,94.7,HIGH
QA Engineer,IT,Admin Panel,4,18.29,0,1,0,1,0,1.13,1,0.857,28.3,LOW
Product Manager,Finance,GitHub Project Alpha,1,13.76,0,1,0,0,0,4.77,1,0.783,43.0,MEDIUM
Contractor,Finance,HR Database,3,1.35,1,0,0,0,1,10.34,1,0.307,100.0,HIGH
HR Specialist,Product,GitHub Project Alpha,1,13.53,0,0,0,1,0,4.18,1,0.811,44.3,MEDIUM
Product Manager,Product,GitHub Project Alpha,1,4.53,1,1,0,1,2,10.82,1,0.483,84.8,HIGH
System Administrator,Engineering,Finance System,3,13.8,0,1,1,0,0,0.17,1,0.92,29.5,LOW
Finance Analyst,HR,HR Database,3,21.07,1,1,1,1,2,11.63,1,0.164,74.6,HIGH
Software Developer,HR,Development Server,2,10.46,0,1,1,0,0,2.99,1,0.742,30.8,MEDIUM
QA Engineer,Finance,Admin Panel,4,16.34,0,1,1,0,0,3.09,1,0.635,36.4,MEDIUM
Finance Analyst,Finance,Development Server,2,0.26,1,0,0,0,4,7.4,1,0.281,100.0,HIGH
DevOps Engineer,Engineering,Project Management System,1,15.84,0,1,1,1,1,4.16,1,0.635,14.0,LOW
Software Developer,Finance,Production Database,4,4.29,1,1,0,0,2,8.89,1,0.207,97.3,HIGH
Software Developer,IT,GitHub Project Alpha,1,22.95,1,1,0,0,4,13.0,1,0.526,97.7,HIGH
QA Engineer,HR,Admin Panel,4,1.18,1,1,0,0,3,7.23,1,0.107,100.0,HIGH
Contractor,IT,Production Database,4,21.66,1,0,1,1,4,11.86,1,0.237,100.0,HIGH
HR Specialist,IT,Production Database,4,3.32,1,0,0,1,3,7.19,1,0.188,100.0,HIGH
Finance Analyst,HR,HR Database,3,17.88,0,1,1,1,0,4.53,1,0.748,6.5,LOW
HR Specialist,HR,GitHub Project Alpha,1,8.75,0,1,1,0,0,0.64,1,0.833,25.5,LOW
DevOps Engineer,Product,Project Management System,1,2.96,1,0,0,1,2,6.27,1,0.008,91.0,HIGH
HR Specialist,Product,Finance System,3,11.96,0,1,1,0,0,4.5,1,0.867,25.7,LOW
System Administrator,Engineering,Development Server,2,8.73,0,1,1,1,0,1.28,1,0.943,2.3,LOW
System Administrator,HR,Admin Panel,4,23.36,1,0,1,0,2,3.06,1,0.472,90.1,HIGH
Finance Analyst,HR,Finance System,3,23.08,1,0,0,0,2,8.59,1,0.118,100.0,HIGH
DevOps Engineer,Engineering,Production Database,4,17.95,0,1,1,1,0,4.85,1,0.638,17.2,LOW
DevOps Engineer,Engineering,Finance System,3,15.24,0,1,1,0,0,2.17,1,0.906,27.8,LOW
QA Engineer,HR,Finance System,3,18.07,0,1,1,0,0,0.37,1,0.706,32.8,MEDIUM
Contractor,IT,Project Management System,1,19.63,0,0,1,1,0,2.52,1,0.815,27.7,LOW
Software Developer,IT,Development Server,2,16.6,0,1,1,0,0,1.16,1,0.872,29.1,LOW
Contractor,Finance,GitHub Project Alpha,1,19.8,0,1,1,0,1,2.09,0,0.96,48.0,MEDIUM
HR Specialist,IT,Development Server,2,12.44,0,1,1,0,0,4.56,1,0.884,26.6,LOW
HR Specialist,HR,Development Server,2,7.0,0,1,1,0,0,1.58,1,0.779,26.7,LOW
Software Developer,Engineering,HR Database,3,2.63,1,0,0,0,5,4.14,1,0.281,97.1,HIGH
Product Manager,HR,Project Management System,1,7.71,0,1,1,1,0,2.41,1,0.828,4.6,LOW
HR Specialist,IT,Project Management System,1,16.75,0,0,1,1,0,4.13,1,0.87,27.1,LOW
HR Specialist,Finance,Admin Panel,4,10.06,0,1,1,0,1,2.06,1,0.898,40.3,MEDIUM
Software Developer,IT,Production Database,4,7.29,0,1,0,1,0,1.23,1,0.851,34.6,MEDIUM
Contractor,Finance,Production Database,4,14.1,0,1,1,0,0,3.96,1,0.776,30.0,MEDIUM
DevOps Engineer,IT,Development Server,2,15.18,0,1,1,0,0,1.64,1,0.636,29.9,LOW
Product Manager,Product,Development Server,2,23.77,1,0,0,0,0,4.84,1,0.592,83.3,HIGH
Product Manager,Product,Production Database,4,16.26,0,1,1,0,0,4.35,1,0.892,32.1,MEDIUM
Software Developer,Finance,HR Database,3,22.58,1,0,1,0,4,14.67,1,0.58,100.0,HIGH
System Administrator,Product,GitHub Project Alpha,1,23.35,1,0,0,1,3,8.72,1,0.219,96.6,HIGH
Contractor,Product,HR Database,3,15.44,0,1,1,0,1,1.97,1,0.906,38.5,MEDIUM
Finance Analyst,Engineering,Admin Panel,4,3.66,1,0,0,0,1,10.78,1,0.481,97.7,HIGH
Product Manager,Product,Project Management System,1,19.45,0,1,1,1,1,4.79,1,0.902,7.8,LOW
Software Developer,Product,HR Database,3,21.29,1,0,0,0,1,6.71,1,0.102,96.5,HIGH
QA Engineer,Finance,Finance System,3,19.37,0,1,1,1,0,0.06,1,0.665,12.6,LOW
Product Manager,IT,Development Server,2,18.49,0,1,1,0,0,3.95,1,0.917,28.0,LOW
Finance Analyst,Engineering,Admin Panel,4,23.32,1,0,0,0,5,12.23,1,0.515,98.8,HIGH
DevOps Engineer,Finance,HR Database,3,13.43,0,1,1,0,1,0.53,1,0.776,39.2,MEDIUM
QA Engineer,IT,HR Database,3,23.0,1,0,0,0,5,12.45,0,0.323,100.0,HIGH
Contractor,Finance,Admin Panel,4,0.03,1,1,0,0,2,8.63,1,0.334,96.8,HIGH
QA Engineer,Product,Project Management System,1,13.04,0,1,1,1,0,0.98,1,0.959,0.3,LOW
Software Developer,Product,Project Management System,1,13.1,0,0,1,1,0,0.68,1,0.989,26.3,LOW
Finance Analyst,HR,Finance System,3,19.77,0,1,1,0,0,0.11,1,0.902,30.6,MEDIUM
Contractor,IT,Admin Panel,4,14.48,0,1,1,1,0,0.4,1,0.944,11.1,LOW
DevOps Engineer,Product,Development Server,2,10.78,0,1,1,0,0,3.2,1,0.853,30.3,MEDIUM
QA Engineer,Finance,Production Database,4,17.79,0,1,1,0,0,1.26,1,0.868,30.2,MEDIUM
Software Developer,Product,Finance System,3,19.02,0,1,1,0,0,0.4,1,0.793,29.8,LOW
